* ******************************************************************************

* iCEcube Pin Table

* Version:            2016.02.27810

* Build Date:         Jan 28 2016 17:38:31

* File Generated:     Jun 5 2016 21:32:02

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, CT256

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
L5, PIO, not used, , , , , , leftBank
L6, PIO, not used, , , , , , leftBank
L7, PIO, not used, , , , , , leftBank
L8, AVDD_BOT, not used, , , , , , UnknownBank
L9, PIO, not used, , , , , , bottomBank
L10, PIO, not used, , , , , , bottomBank
L11, PIO, not used, , , , , , bottomBank
L12, PIO, not used, , , , , , rightBank
L13, PIO, not used, , , , , , rightBank
L14, PIO, not used, , , , , , rightBank
L15, GND, not used, , , , , , UnknownBank
L16, PIO, not used, , , , , , rightBank
M1, PIO, not used, , , , , , leftBank
M2, PIO, not used, , , , , , leftBank
M3, PIO, not used, , , , , , leftBank
M4, PIO, not used, , , , , , leftBank
M5, PIO, not used, , , , , , leftBank
M6, PIO, not used, , , , , , leftBank
M7, PIO, not used, , , , , , bottomBank
M8, PIO, not used, , , , , , bottomBank
M9, PIO, not used, , , , , , bottomBank
M10, CDONE, not used, , , , , , bottomBank
M11, PIO, not used, , , , , , bottomBank
M12, PIO, not used, , , , , , bottomBank
M13, PIO, not used, , , , , , rightBank
M14, PIO, not used, , , , , , rightBank
M15, PIO, not used, , , , , , rightBank
M16, PIO, not used, , , , , , rightBank
N1, VCCIO_3, not used, , , , , , leftBank
N2, PIO, not used, , , , , , leftBank
N3, PIO, not used, , , , , , leftBank
N4, PIO, not used, , , , , , leftBank
N5, PIO, not used, , , , , , bottomBank
N6, PIO, not used, , , , , , bottomBank
N7, PIO, not used, , , , , , bottomBank
N8, AGND_BOT, not used, , , , , , UnknownBank
N9, PIO, not used, , , , , , bottomBank
N10, PIO, not used, , , , , , bottomBank
N11, CRESET_B, not used, , , , , , bottomBank
N12, PIO, not used, , , , , , bottomBank
